Index,Latitude,Longitude,Northing,Easting,GeoAddress,BuildingN,StreetN,District,NUMABOVEGROUNDSTOREYS,TOPHEIGHT,RECORDUPDATEDDATE
311,22.50007,114.14638,840051,833130,3313040047T20050430,華潤物流潤聲中心,安樂門街,北區,,,
312,22.39898,114.19149,828857,837773,3777128852T20050430,華潤沙田貨倉,山尾街,沙田區,,,7/25/2005
313,22.43991,114.01002,833399,819092,1909033409T20050430,中運汽車大廈,新起村街,元朗區,,,
314,22.36037,114.13229,824582,831676,3167824588T20050430,中信國際中心,葵安道,葵青區,,,7/25/2005
315,22.37512,114.11115,826216,829499,2949926216T20050430,華懋荃灣廣場,青山公路荃灣段,荃灣區,,,
316,22.45179,114.16491,834704,835036,3504234702T20050430,禮賢會大埔堂,汀角路,大埔區,,,
317,22.36461,114.12839,825051,831274,3126625046T20050430,香港中華基督教青年會新界會所,葵盛圍,葵青區,,,
318,22.46351,113.99956,836013,818018,1802036019T20050430,中華基督教青年會中學,,元朗區,,,
319,22.37396,114.11975,826087,830385,3038426089T20050430,香港中華基督教青年會荃灣會所,蕙荃路,荃灣區,,,
320,22.42801,114.23784,832073,842544,4254732089T20050430,青年會烏溪沙青年新村,鞍駿街,沙田區,,,
321,22.36463,114.13382,825053,831834,3183625070T20050430,禎昌工業大廈,葵昌路,葵青區,,,
322,22.34623,114.10885,823016,829261,2926223017T20170406,俊軒閣,青康路,葵青區,,,
323,22.34624,114.10918,823018,829295,2929622994T20170406,俊豪閣,青康路,葵青區,,,
324,22.28848,113.94412,816638,812282,1225616634T20050430,青松侯寶垣小學,富東街,離島區,,,
325,22.38271,113.9723,827069,815200,1521927054T20050430,青松侯寶垣中學,恒富街,屯門區,,,
326,22.4063,113.97301,829681,815277,1527529682T20050430,青松安老院,青松徑,屯門區,,,
327,22.40611,113.97457,829660,815437,1543829660T20150708,青松觀綜合大樓,青松觀路,屯門區,,,6/25/2021
328,22.44789,114.16703,834273,835255,3524834273T20050430,正發樓,廣福里,大埔區,,,
329,22.38353,114.18388,827145,836990,3699127146T20050430,景風台,大埔公路沙田段,沙田區,,,
330,22.34246,114.10803,822599,829176,2919222577T20230420,青隆閣,青衣路,葵青區,,,
331,22.34168,114.10745,822513,829116,2910122529T20230420,青盈閣,青衣路,葵青區,,,
332,22.32336,114.20579,820483,839247,3924720467T20050430,正興工業大廈,宏基街,觀塘區,,,
333,22.49304,114.1267,839273,831105,3110639273T20050429,清澤樓,清曉路,北區,,,
334,22.49311,114.12522,839281,830953,3095039278T20050429,清照樓,清曉路,北區,,,
335,22.49388,114.12791,839366,831229,3123039365T20050429,清頌樓,清曉路,北區,,,
336,22.49436,114.12811,839419,831250,3124639409T20090119,清河商場,清曉路,北區,,,
337,22.49311,114.12577,839281,831009,3100839280T20050429,清朗樓,清曉路,北區,,,
338,22.49362,114.12577,839337,831009,3101039338T20050429,清平樓,清曉路,北區,,,
339,22.49362,114.12633,839337,831067,3106639336T20050429,清潤樓,清曉路,北區,,,
340,22.41006,113.98054,830097,816053,1605230098T20050430,清涼法苑,青山公路新墟段,屯門區,,,
341,22.36328,114.10239,824905,828596,2859324895T20050430,祥泰閣,担杆山路,葵青區,33,93.8,2/24/2014
342,22.36273,114.10111,824844,828464,2847824840T20050430,俊泰閣,担杆山路,葵青區,,,
343,22.3633,114.10139,824907,828494,2849224903T20050430,恒泰閣,担杆山路,葵青區,,,
344,22.36273,114.10211,824844,828567,2857024849T20050430,鴻泰閣,担杆山路,葵青區,,,
345,22.36318,114.10174,824894,828529,2852924885T20050430,寶泰閣,担杆山路,葵青區,,,
346,22.36284,114.10073,824857,828425,2843924853T20050430,誠泰閣,担杆山路,葵青區,,,
347,22.36333,114.10048,824910,828400,2839624903T20050430,通泰閣,担杆山路,葵青區,,,
348,22.41142,113.97168,830248,815141,1514730241T20220127,菁心樓,欣寶路,屯門區,,143.2,2/23/2022
349,22.34856,114.10143,823275,828497,2849523288T20050430,華翔閣,青芊街,葵青區,33,165.7,2/24/2014
350,22.34875,114.10059,823296,828410,2841223285T20050430,華豐閣,青芊街,葵青區,36,174.1,2/24/2014
351,22.34892,114.10016,823315,828366,2836623307T20050430,華碧閣,青芊街,葵青區,33,166.7,2/24/2014
352,22.34887,114.09854,823310,828199,2819023308T20050430,華璇閣,青芊街,葵青區,36,172.1,2/24/2014
353,22.34895,114.09793,823318,828137,2813523321T20050430,華奐閣,青芊街,葵青區,36,171.8,2/24/2014
354,22.34878,114.10099,823300,828452,2845323288T20050430,華欣閣,青芊街,葵青區,,,
355,22.36171,114.10462,824731,828825,2882524731T20050430,宏就閣,牙鷹洲街,葵青區,,,
356,22.36208,114.10461,824772,828825,2882524773T20050430,宏裕閣,牙鷹洲街,葵青區,,,
357,22.52902,114.15916,843257,834445,3444643258T20050430,程園,坪輋,北區,,18,7/25/2005
358,22.44913,114.16495,834410,835041,3504334411T20050430,哲華樓,靖遠街,大埔區,,,
359,22.44313,114.0285,833753,820995,2099433758P20070319,捷榮樓,教育路,元朗區,,,
360,22.41637,114.22998,830783,841736,4174530826T20050430,潮州會館中學,恆錦街,沙田區,,,
361,22.44221,114.02244,833652,820370,2036533652T20050430,趙聿修紀念中學,元朗體育路,元朗區,,,
362,22.46334,114.00624,835993,818706,1870535994T20060526,潮陽百欣小學,天華路,元朗區,,,
363,22.43203,113.99842,832527,817897,1789732527T20050430,照園,丹桂村,元朗區,,,
364,22.37015,114.09153,825666,827478,2747925667T20050430,秋園,青山公路汀九段,荃灣區,,,
365,22.34585,114.12933,822973,831370,3136622983T20050430,祖堯天主教小學,敬祖路,葵青區,,,
366,22.34569,114.1283,822957,831264,3126522960T20211125,祖堯坊,敬祖路,葵青區,,,
367,22.34639,114.1279,823034,831224,3119523045T20050430,松齡舍,麗祖路,葵青區,,,
368,22.34459,114.12996,822834,831435,3142922840T20050430,啟真樓,榮祖街,葵青區,,,
369,22.34733,114.12833,823138,831267,3128123135T20050430,啟恆樓,念祖街,葵青區,,,
370,22.34669,114.1275,823067,831182,3118223067T20050430,啟謙樓,麗祖路,葵青區,,,
371,22.34679,114.12885,823078,831321,3132223080T20050430,啟敬樓,麗祖路,葵青區,,,
372,22.34551,114.12999,822936,831439,3144522918T20050430,啟光樓,榮祖街,葵青區,,,
373,22.34622,114.12944,823014,831382,3138323020T20050430,啟廉樓,榮祖街,葵青區,,,
374,22.34816,114.12849,823229,831284,3128523244T20050430,啟勉樓,念祖街,葵青區,,,
375,22.36326,114.17696,824901,836277,3626024920T20050430,才俊學校,顯泰街,沙田區,,,
376,22.43224,113.99822,832550,817876,1787732551T20050430,彩利園,丹桂村,元朗區,,,
377,22.30685,114.25237,818656,844047,4405018657T20050430,彩明商場,彩明街,西貢區,4,27.6,2/24/2014
378,22.30742,114.253,818720,844112,4411418719T20050430,彩富閣,彩明街,西貢區,,,
379,22.30673,114.25284,818642,844096,4409618643T20050430,彩貴閣,彩明街,西貢區,41,119.9,2/24/2014
380,22.30696,114.25329,818669,844142,4413918667T20050430,彩榮閣,彩明街,西貢區,,,
381,22.30714,114.25389,818688,844204,4420218691T20050430,彩耀閣,彩明街,西貢區,,,
382,22.30822,114.2542,818808,844235,4423618808T20050430,彩松閣,彩明街,西貢區,,,
383,22.30845,114.25462,818833,844279,4427718834T20050430,彩柳閣,彩明街,西貢區,,,
384,22.30809,114.25497,818794,844315,4431418793T20050430,彩梅閣,彩明街,西貢區,,,
385,22.30784,114.25444,818766,844260,4425918766T20050430,彩柏閣,彩明街,西貢區,41,121.8,2/24/2014
386,22.30771,114.25504,818751,844322,4432218750T20050430,彩桃閣,彩明街,西貢區,,,
387,22.30865,114.25499,818855,844317,4431518855T20050430,彩楊閣,彩明街,西貢區,41,121.6,2/24/2014
388,22.50225,114.12468,840293,830898,3089440305T20050430,彩晶閣,彩園路,北區,,,
389,22.50109,114.1243,840165,830858,3085340181T20050430,彩顏閣,彩園路,北區,,,
390,22.50202,114.12525,840268,830956,3095240280T20050430,彩碧閣,彩園路,北區,,,
391,22.50248,114.12412,840318,830840,3082840315T20050430,彩瑩閣,彩園路,北區,,,
392,22.39761,114.18868,828705,837483,3748428660T20200520,彩禾苑,禾上墩街,沙田區,,,
393,22.50075,114.12578,840127,831011,3101140142T20050430,彩珠樓,彩園路,北區,,,
394,22.50004,114.12541,840048,830972,3095640054T20050430,彩麗樓,彩園路,北區,,,
395,22.50142,114.12643,840201,831078,3108540208T20050430,彩屏樓,彩園路,北區,,,
396,22.49985,114.12637,840027,831071,3107240037T20050430,彩華樓,彩園路,北區,,,
397,22.50056,114.12496,840105,830927,3095840115T20050430,彩湖樓,彩園路,北區,,,
398,22.50082,114.12646,840135,831080,3108440149T20050430,彩園廣場,彩園路,北區,,,
399,22.50157,114.12581,840218,831013,3101040245T20050430,彩玉樓,彩園路,北區,19,60.9,2/24/2014
400,22.49156,114.14344,839108,832828,3280739113T20050430,藏霞精舍,大埔公路粉嶺段,北區,,,
401,22.20409,114.03232,807283,821362,2135107287T20050430,莊漢樂紀念樓,長洲山頂道,離島區,,,
402,22.43333,113.99564,832671,817610,1761032671T20050430,創業居,洪水橋大街,元朗區,2,,8/17/2006
403,22.50482,114.13322,840577,831777,3177540577T20050430,蔡園,石湖新村,北區,,13.8,7/25/2005
404,22.31275,114.25764,819310,844590,4460319300T20050430,基督教宣道會宣基小學,唐明街,西貢區,,,
405,22.30989,114.25937,818993,844768,4480618997T20050430,基督教宣道會宣基中學,唐俊街,西貢區,,,
406,22.40395,113.96775,829422,814735,1473429422T20050430,宣道中學,良才里,屯門區,,,
407,22.3717,114.18716,825836,837328,3733125837T20050430,宣道會陳元喜小學,盛田街,沙田區,,,
408,22.38695,113.97234,827539,815205,1520527546T20050430,宣道會陳瑞芝紀念中學,友愛路,屯門區,,,
409,22.48156,114.13801,838002,832269,3225337987T20050430,宣道會陳朱素華紀念中學,暉明路,北區,,,
410,22.48305,114.11175,838167,829567,2956838169T20050430,基督教以便以謝堂,蓮塘尾,北區,,47.8,7/25/2005
411,22.22698,114.01069,809820,819135,1913609820T20061011,基督教正生書院,下徑,離島區,,,
412,22.3673,114.13273,825349,831721,3172625344T20050430,珠寶大樓,禾塘咀街,葵青區,,,
413,22.37011,114.12965,825660,831405,3142525664T20050430,泉基工業大廈,健康街,葵青區,,,
414,22.37111,114.11658,825771,830058,3005325771T20050430,川龍樓,川龍街,荃灣區,,,
415,22.50518,114.12669,840617,831104,3110540621T20050430,全和大樓,新豐路,北區,,,
416,22.37155,114.11775,825820,830179,3018125816T20050430,傳耀樓,荃灣街市街,荃灣區,6,,8/17/2006
417,22.2205,114.213,809093,839993,3999209093T20050430,翠屋,赤柱村道,南區,,,
418,22.44161,114.02643,833585,820781,2078833589T20050430,足彬大廈,達輝徑,元朗區,,,
419,22.47841,114.05674,837657,823905,2390437655T20050430,竹慶馬丁幼稚園,青山公路潭尾段,元朗區,,,
420,22.43515,114.01143,832871,819237,1923832873T20050430,竹林明堂,沙井路,元朗區,,,
421,22.32978,114.18229,821193,836826,3682621195T20050430,珍珠樓,喇沙利道,九龍城區,4,,8/17/2006
422,22.45891,114.18435,835493,837037,3706335493T20050430,俊康大廈,大富街,大埔區,,,
423,22.36763,114.13341,825385,831792,3179825379T20050430,珍寶大樓,葵涌道,葵青區,,,
424,22.37328,114.18686,826010,837297,3730026013T20050430,秦石商場,盛田街,沙田區,4,21.2,2/24/2014
425,22.37387,114.18591,826075,837199,3718626068T20050430,石暉樓,盛田街,沙田區,26,75.7,2/24/2014
426,22.37301,114.18639,825981,837248,3725225986T20050430,石晶樓,盛田街,沙田區,26,77.5,2/24/2014
427,22.37317,114.18607,825998,837215,3721225985T20050430,石瑩樓,盛田街,沙田區,28,82.9,2/24/2014
428,22.37368,114.18712,826055,837323,3729126086T20050430,石玉樓,盛田街,沙田區,19,58,2/24/2014
429,22.39938,114.18903,828901,837520,3752028901T20180320,駿山樓,黃竹洋街,沙田區,,159.9,3/18/2020
430,22.3992,114.18764,828881,837376,3737728881T20180320,駿湖樓,黃竹洋街,沙田區,,155.7,3/18/2020
431,22.40007,114.19014,828977,837634,3764228970T20180320,駿逸樓,黃竹洋街,沙田區,,149.7,3/18/2020
432,22.39933,114.19014,828896,837634,3763628897T20180320,駿洋商場,黃竹洋街,沙田區,,53.4,3/18/2020
433,22.39998,114.18963,828967,837582,3758228924T20180320,駿爾樓,黃竹洋街,沙田區,,152.4,3/18/2020
434,22.45458,114.02497,835021,820633,2063335021T20050430,振益花園,橫州擴展新區,元朗區,,15.7,7/25/2005
435,22.42322,114.03225,831547,821378,2138031549T20050430,松興園,南坑村,元朗區,,18.9,7/25/2005
436,22.36972,114.13629,825617,832088,3209025617T20050430,中僑貨倉大廈,梨木道,葵青區,24,,8/17/2006
437,22.40153,114.20036,829139,838686,3868929136T20050430,莊廬,落路下村,沙田區,,15.3,7/25/2005
438,22.42322,113.98047,831553,816048,1604831553T20050430,松茂花園,青磚圍路,屯門區,,23.2,7/25/2005
439,22.31825,114.26273,819919,845114,4511519919T20050430,輝明閣,寶順路,西貢區,36,104.1,2/24/2014
440,22.31865,114.26298,819963,845140,4514119962T20050430,嘉明閣,寶順路,西貢區,36,104.1,2/24/2014
441,22.31716,114.26374,819798,845218,4521819803T20050430,冠明閣,寶順路,西貢區,36,104.4,2/24/2014
442,22.31746,114.26334,819832,845176,4517719832T20050430,翠明閣,寶順路,西貢區,36,103.7,2/24/2014
443,22.31776,114.26294,819865,845135,4513719865T20050430,賢明閣,寶順路,西貢區,36,103.7,2/24/2014
444,22.45889,114.17055,835491,835617,3560835494T20050430,頌真閣,頌雅路,大埔區,35,106.4,2/24/2014
